epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5857,1.2,1.61744,1.19068,0.23316,0.51832,0.32124,0.09624,2.80468,3.42861,3.22101,0.000654971,0.000654971,0.000654971
2,119.079,1.1276,0.86757,1.14623,0.75332,0.80487,0.76284,0.28545,1.88412,1.68728,1.63296,0.00131291,0.00131291,0.00131291
3,177.418,1.13158,0.81572,1.12397,0.69037,0.6569,0.70438,0.25777,1.92787,1.50572,1.77964,0.00196206,0.00196206,0.00196206
4,237.727,1.09939,0.77309,1.185,0.65248,0.73495,0.70137,0.23171,2.13596,1.92924,2.09393,0.0019604,0.0019604,0.0019604
5,296.781,1.11905,0.72013,1.20105,0.73542,0.77827,0.69101,0.26537,2.14054,1.27292,2.17376,0.0019472,0.0019472,0.0019472
6,355.02,1.09515,0.69032,1.19482,0.85442,0.88802,0.88414,0.31264,1.98622,1.11452,1.90352,0.001934,0.001934,0.001934
7,414.587,1.06956,0.63691,1.15833,0.94472,0.94839,0.97664,0.55802,1.5044,0.95453,1.44232,0.0019208,0.0019208,0.0019208
8,474.034,0.97914,0.5838,1.09717,0.9297,0.8931,0.95591,0.46608,1.74456,0.9506,1.58909,0.0019076,0.0019076,0.0019076
9,532.362,0.9649,0.55618,1.09098,0.97181,0.91719,0.98125,0.62443,1.29119,1.22397,1.28244,0.0018944,0.0018944,0.0018944
10,590.071,0.92804,0.52201,1.06706,0.95328,0.92945,0.98482,0.69976,1.11064,0.76021,1.17387,0.0018812,0.0018812,0.0018812
11,647.077,0.90864,0.52428,1.05795,0.97036,0.9751,0.99086,0.67145,1.12883,0.85669,1.17383,0.001868,0.001868,0.001868
12,703.895,0.91557,0.51375,1.06341,0.98521,0.97913,0.99225,0.6896,1.11199,0.60418,1.18574,0.0018548,0.0018548,0.0018548
13,760.87,0.89509,0.46643,1.05106,0.97329,0.97499,0.98992,0.66959,1.19978,0.5933,1.21077,0.0018416,0.0018416,0.0018416
14,818.126,0.9158,0.45533,1.06154,0.94772,0.9499,0.98149,0.67635,1.17456,0.66127,1.22227,0.0018284,0.0018284,0.0018284
15,876.555,0.92525,0.45485,1.07063,0.95983,0.97443,0.99047,0.68791,1.14037,0.6165,1.15466,0.0018152,0.0018152,0.0018152
16,933.58,0.88194,0.42688,1.04233,0.96565,0.96721,0.99032,0.70211,1.10253,0.6143,1.15996,0.001802,0.001802,0.001802
17,991.741,0.87796,0.42231,1.03813,0.97204,0.9785,0.99217,0.68654,1.14844,0.60265,1.18446,0.0017888,0.0017888,0.0017888
18,1051.88,0.86633,0.41137,1.04166,0.96982,0.96082,0.98973,0.69734,1.12336,0.61011,1.15183,0.0017756,0.0017756,0.0017756
19,1110.64,0.8726,0.41571,1.0528,0.96476,0.95503,0.98905,0.64952,1.29126,0.63034,1.26514,0.0017624,0.0017624,0.0017624
20,1170.44,0.89137,0.42122,1.05351,0.98469,0.97722,0.99202,0.65861,1.23232,0.55533,1.23959,0.0017492,0.0017492,0.0017492
21,1228.65,0.86616,0.408,1.02783,0.97771,0.97134,0.9922,0.68725,1.12008,0.5789,1.16738,0.001736,0.001736,0.001736
22,1285.79,0.8672,0.40714,1.04,0.96495,0.97347,0.99042,0.64907,1.29542,0.60191,1.30056,0.0017228,0.0017228,0.0017228
23,1342.69,0.85988,0.40092,1.03269,0.96862,0.97149,0.99117,0.69375,1.09597,0.58285,1.16476,0.0017096,0.0017096,0.0017096
24,1400.19,0.85356,0.40062,1.04142,0.95852,0.97174,0.9908,0.71229,1.05301,0.55053,1.13216,0.0016964,0.0016964,0.0016964
25,1458.85,0.85379,0.40388,1.02685,0.98239,0.9774,0.99256,0.70844,1.12173,0.53504,1.14839,0.0016832,0.0016832,0.0016832
26,1516.28,0.88402,0.40014,1.03872,0.98225,0.97818,0.99276,0.70968,1.08835,0.49341,1.13082,0.00167,0.00167,0.00167
27,1576.36,0.87266,0.39932,1.03599,0.98032,0.97613,0.99298,0.72521,1.09113,0.53146,1.13351,0.0016568,0.0016568,0.0016568
